# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTime90PNs,1684928461530000000,1684928521614000000,2516582399
AWTEventQueue.eventsDispatched,1684928461530000000,1684928521614000000,3134
AWTEventQueue.dispatchTime90PNs,1684928461530000000,1684928521614000000,14352383
FlushQueue.tasksExecuted,1684928461530000000,1684928521614000000,3044
FlushQueue.queueSizeMax,1684928461530000000,1684928521614000000,142
FlushQueue.executionTimeAvgNs,1684928461530000000,1684928521614000000,8491401.755584758
AWTEventQueue.dispatchTimeMaxNs,1684928461530000000,1684928521614000000,2449473535
FlushQueue.queueSize90P,1684928461530000000,1684928521614000000,84
FlushQueue.executionTime90PNs,1684928461530000000,1684928521614000000,2088959
FlushQueue.waitingTimeAvgNs,1684928461530000000,1684928521614000000,5.69457158370565E8
NonBlockingReadAction.finalizedExecutionTimeUs,1684928461530000000,1684928521614000000,23632192
NonBlockingReadAction.failedExecutionTimeUs,1684928461530000000,1684928521614000000,436889
NonBlockingReadAction.failedExecutionsCount,1684928461530000000,1684928521614000000,6
FlushQueue.waitingTimeMaxNs,1684928461530000000,1684928521614000000,5469372415
FlushQueue.executionTimeMaxNs,1684928461530000000,1684928521614000000,2432696319
NonBlockingReadAction.finalizedExecutionsCount,1684928461530000000,1684928521614000000,125
FlushQueue.queueSizeAvg,1684928461530000000,1684928521614000000,19.201051248357423
AWTEventQueue.dispatchTimeAvgNs,1684928461530000000,1684928521614000000,1.3330181105296746E7
FileNameCache.queries,1684928461530000000,1684928521614000000,1619116
FileNameCache.fastMisses,1684928461530000000,1684928521614000000,166887
FileNameCache.totalMisses,1684928461530000000,1684928521614000000,16915
FilePageCache.pageLoads,1684928461530000000,1684928521614000000,386
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1684928461530000000,1684928521614000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1684928461530000000,1684928521614000000,0
FilePageCache.uncachedFileAccess,1684928461530000000,1684928521614000000,145
StorageLockContext.competingThreads.90P,1684928461530000000,1684928521614000000,0
FilePageCache.totalPageLoadsUs,1684928461530000000,1684928521614000000,2458624
DirectByteBufferAllocator.misses,1684928461530000000,1684928521614000000,383
DirectByteBufferAllocator.disposed,1684928461530000000,1684928521614000000,0
FilePageCache.pageHits,1684928461530000000,1684928521614000000,4566
FilePageCache.pageFastCacheHits,1684928461530000000,1684928521614000000,670049
StorageLockContext.competingThreads.max,1684928461530000000,1684928521614000000,3
DirectByteBufferAllocator.hits,1684928461530000000,1684928521614000000,3
FilePageCache.maxRegisteredFiles,1684928461530000000,1684928521614000000,300
FilePageCache.disposedBuffers,1684928461530000000,1684928521614000000,3
StorageLockContext.competingThreads.avg,1684928461530000000,1684928521614000000,0.02608695652173913
FilePageCache.capacityInBytes,1684928461530000000,1684928521614000000,524288000
FilePageCache.maxCacheSizeInBytes,1684928461530000000,1684928521614000000,196722688
DirectByteBufferAllocator.reclaimed,1684928461530000000,1684928521614000000,3
FilePageCache.totalPageDisposalsUs,1684928461530000000,1684928521614000000,4186
